mmsi,timestamp,distance_from_shore,distance_from_port,speed,course,lat,lon,is_fishing
1.26395608076e+13,1404970086.0,301800.5,311884.96875,8.1999998093,174.199996948,19.3834209442,-19.3343791962,-1.0
1.26395608076e+13,1404970086.0,301800.5,311884.96875,8.1999998093,174.199996948,19.3834209442,-19.3343791962,-1.0
1.26395608076e+13,1404970086.0,301800.5,311884.96875,8.1999998093,174.199996948,19.3834209442,-19.3343791962,-1.0
1.26395608076e+13,1404970090.0,301800.5,311884.96875,8.6000003815,174.5,19.3832626343,-19.3343677521,-1.0
1.26395608076e+13,1404970090.0,301800.5,311884.96875,8.6000003815,174.5,19.3832626343,-19.3343677521,-1.0
1.26395608076e+13,1404970090.0,301800.5,311884.96875,8.6000003815,174.5,19.3832626343,-19.3343677521,-1.0
1.26395608076e+13,1404970090.0,301800.5,311884.96875,8.6000003815,174.5,19.3832626343,-19.3343677521,-1.0
1.26395608076e+13,1404970122.0,301800.5,311884.96875,8.5,181.399993897,19.3820724487,-19.334405899,-1.0
1.26395608076e+13,1404970122.0,301800.5,311884.96875,8.5,181.399993897,19.3820724487,-19.334405899,-1.0
1.26395608076e+13,1404970122.0,301800.5,311884.96875,8.5,181.399993897,19.3820724487,-19.334405899,-1.0
1.26395608076e+13,1404970122.0,301800.5,311884.96875,8.5,181.399993897,19.3820724487,-19.334405899,-1.0
1.26395608076e+13,1404970166.0,301551.90625,311654.03125,9.3999996185,172.699996948,19.3804073334,-19.3343257904,-1.0
1.26395608076e+13,1404970166.0,301551.90625,311654.03125,9.3999996185,172.699996948,19.3804073334,-19.3343257904,-1.0
1.26395608076e+13,1404970166.0,301551.90625,311654.03125,9.3999996185,172.699996948,19.3804073334,-19.3343257904,-1.0
1.26395608076e+13,1404970166.0,301551.90625,311654.03125,9.3999996185,172.699996948,19.3804073334,-19.3343257904,-1.0
1.26395608076e+13,1404970214.0,301551.90625,311654.03125,9.5,187.0,19.3785076141,-19.3342151642,-1.0
1.26395608076e+13,1404970214.0,301551.90625,311654.03125,9.5,187.0,19.3785076141,-19.3342151642,-1.0
1.26395608076e+13,1404970214.0,301551.90625,311654.03125,9.5,187.0,19.3785076141,-19.3342151642,-1.0
1.26395608076e+13,1404970214.0,301551.90625,311654.03125,9.5,187.0,19.3785076141,-19.3342151642,-1.0
1.26395608076e+13,1404970218.0,301551.90625,311654.03125,8.6000003815,191.699996948,19.3783378601,-19.3342437744,-1.0
